platform,type,title,director,cast,country,release_year,rating,duration_minutes,num_seasons,genres,keywords,data_quality
Amazon Prime,Movie,10 Minutes Gone (4K UHD,Brian A. Miller,"Michael Chiklis, Bruce Willis, Meadow Williams, Kyle Schmid, Lydia Hull",,2019,Adult,88,,"Action, Adventure, Suspense",minutes gone uhd action adventure suspense miller,high
Amazon Prime,Movie,10 Rillington Place,Richard Fleischer,"Richard Attenborough, Judy Geeson, John Hurt, Robert Hardy",,1971,PG,111,,"Action, Drama, Suspense",rillington place action drama suspense fleischer,high
Disney+,Movie,10 Things I Hate About You,Gil Junger,"Heath Ledger, Julia Stiles, Joseph Gordon-Levitt, Larisa Oleynik, David Krumholtz, Andrew Keegan",United States,1999,Teen,98,,"Comedy, Coming Of Age, Romance",things hate about you comedy coming age romance junger,high
Hulu,TV Show,10 Things I Hate About You,,,United States,2009,Teen,,1,"Comedy, Drama, Romance",things hate about you comedy drama romance,medium
Amazon Prime,TV Show,10 Things You Don't Know About,,Henry Rollins,,2012,PG,,1,"Documentary, Special Interest",things you don know about documentary special interest,high
Amazon Prime,Movie,10 items or Less,Brad Silberling,"Morgan Freeman, Paz Vega, Jonah Hill",,2007,Adult,81,,"Comedy, Drama",items less comedy drama silberling,high
Netflix,Movie,10 jours en or,Nicolas Brossette,"Franck Dubosc, Claude Rich, Marie Kremer, Mathis Touré, Rufus, Olivier Claverie",France,2012,Teen,97,,"Comedies, Dramas, International Movies",jours comedies dramas brossette,high
Amazon Prime,Movie,10 to Midnight,J. Lee Thompson,"Charles Bronson, Lisa Eilbacher, Andrew Stevens, Gene Davis, Geoffrey Lewis, Wilford Brimley",,1983,Adult,102,,"Action, Adventure",midnight action adventure thompson,high
Netflix,Movie,"10,000 B.C.",Roland Emmerich,"Steven Strait, Camilla Belle, Cliff Curtis, Joel Virgel, Affif Ben Badra, Mo Zinal, Nathanael Baring, Mona Hammond, Omar Sharif","South Africa, United States",2008,Teen,109,,Action & Adventure,action adventure emmerich,high
Amazon Prime,Movie,10-Minute Guided Meditation,Mark Knight,Anne-Marie Newland,,2016,General,13,,"Fitness, Special Interest",minute guided meditation fitness special interest knight,high
Amazon Prime,Movie,10.0 Earthquake,David Gidali,"Henry Ian Cusick, David Chokachi, Jeffrey Jones, Kristen Dalton, Cameron Richardson",,2014,Adult,87,,Science Fiction,earthquake science fiction gidali,high
Amazon Prime,Movie,10/31 Part 2,"Brett DeJager, Max Groah, John Hale III, Zane Hershberger, Robert Lanphere, Jennifer Nangle, Tory van Buskirk, Stephen Wolfe","London Grace, Jennifer Nangle, Anastasia Elfman, David E. Mcmahon, R.J. Wagner",,2021,Adult,95,,Horror,part horror wolfe,high
Netflix,TV Show,100 Days My Prince,,"Doh Kyung-Soo, Nam Ji-Hyun, Cho Seong-Ha, Cho Han-Cheul, Kim Seon-Ho, Han So-Hee",South Korea,2018,Teen,,1,"International Tv Shows, Romantic Tv Shows, Tv Dramas",days prince romantic dramas,high
Netflix,Movie,100 Days Of Solitude,,,Spain,2018,Adult,93,,"Documentaries, International Movies",days solitude documentaries,medium
Amazon Prime,Movie,100 Days to Live,Ravin Gandhi,"Colin Egglesfield, Heidi Johanningmeier, Gideon Emery, Yancey Arias, Chris Johnson",,2021,Adult,87,,"Horror, Suspense",days live horror suspense gandhi,high
Hulu,TV Show,100 Foot Wave,,,,2021,Teen,,1,"Documentaries, Sports",foot wave documentaries sports,medium
Amazon Prime,Movie,100 Girls,Michael Davis,"Jonathan Tucker, Emmanuelle Chriqui, James Debello, Katherine Heigl, Larisa Oleynik, Jaime Pressly, Marissa Ribisi",,2001,Adult,95,,Comedy,girls comedy davis,high
Netflix,TV Show,100 Humans,,"Zainab Johnson, Sammy Obeid, Alie Ward",United States,2020,Teen,,1,"Docuseries, Science & Nature Tv",humans docuseries science nature,high
Amazon Prime,Movie,100 Kilos,Rod S. Scott,"Glenn Plummer, Dwayne Adway, Mane Rich Andrew, Ski Carr, Carlos Carrasco, Wayne Collins, Sydney 'Big Dawg' Colston, Keno K. Deary, Mc Eiht, Larry B. Scott, Nigel Thatch",,2001,Adult,88,,"Action, Drama, Suspense",kilos action drama suspense scott,high
Netflix,Movie,100 Meters,Marcel Barrena,"Dani Rovira, Karra Elejalde, Alexandra Jiménez, David Verdaguer, Clara Segura, Alba Ribas, Bruno Bergonzini, Ricardo Pereira, Manuela Couto, Marc Balaguer","Portugal, Spain",2016,Adult,109,,"Dramas, International Movies, Sports Movies",meters dramas sports barrena,high
Amazon Prime,Movie,100 Streets,Jim O'Hanlon,"Idris Elba, Gemma Arterton, Charlie Creed-Miles, Franz Drameh, Kierston Wareing, Tom Cullen, Ken Stott",,2017,Unrated,94,,"Action, Drama, Suspense",streets action drama suspense o'hanlon,high
Hulu,Movie,100 Streets,,,United Kingdom,2016,Unrated,94,,Drama,streets drama,medium
Netflix,Movie,100 Things to do Before High School,,"Isabela Moner, Jaheem Toombs, Owen Joyner, Jack De Sena, Brady Reiter, Lisa Arch, Stephanie Escajeda",United States,2014,Kids,44,,Movies,things before high school,high
Amazon Prime,Movie,100 Women,Michael Davis,"Chad Donella, Erinn Bartlett, Jennifer Morrison, Clint Howard, Steve Monroe",,2003,Adult,95,,Comedy,women comedy davis,high
Netflix,Movie,100 Years: One Woman's Fight for Justice,Melinda Janko,,United States,2016,Teen,75,,Documentaries,years one woman fight justice documentaries janko,high
Netflix,Movie,100% Halal,Jastis Arimba,"Anisa Rahma, Ariyo Wahab, Anandito Dwis, Fitria Rasyidi, Arafah Rianti, Kinaryosih",Indonesia,2020,Teen,101,,"Dramas, International Movies",halal dramas arimba,high
Netflix,TV Show,100% Hotter,,"Daniel Palmer, Melissa Sophia, Karen Williams, Grace Woodward",United Kingdom,2017,Teen,,1,"British Tv Shows, International Tv Shows, Reality Tv",hotter british reality,high
Hulu,Movie,100% Wolf,,,,2020,PG,96,,Comedy,wolf comedy,medium
Amazon Prime,Movie,100-Minutes of Symphony on Washington's Lake Crescent,Mark Knight,Kimiko Ishizaka,,2019,General,109,,"Arts, Entertainment, And Culture, Music Videos And Concerts, Special Interest",minutes symphony washington lake crescent arts entertainment culture music videos concerts special interest knight,high
Netflix,Movie,1000 Rupee Note,Shrihari Sathe,"Usha Naik, Sandeep Pathak, Shrikant Yadav, Ganesh Yadav, Pooja Nayak, Devendra Gaikwad",India,2014,Teen,89,,"Dramas, International Movies",rupee note dramas sathe,high
Hulu,TV Show,1000-lb Sisters,,,United States,2020,Teen,,1,"Documentaries, Reality",sisters documentaries reality,medium
Amazon Prime,Movie,100M Criminal Conviction,Kathi Selvakumar,"Ariane Roberto, Graeme Scott, Giancarlo Murano, Hannah Grieve",,2021,Adult,93,,"Drama, Suspense",criminal conviction drama suspense selvakumar,high
Disney+,TV Show,101 Dalmatian Street,,"Josh Brener, Michaela Dietz, Ella Kenion, Rhashan Stone","Canada, United Kingdom, United States",2018,Kids,,1,"Action-Adventure, Animation, Comedy",dalmatian street action adventure animation comedy,high
Disney+,Movie,101 Dalmatians,"Wolfgang Reitherman, Hamilton Luske, Clyde Geronimi","Rod Taylor, J. Pat O'Malley, Betty Gerson, Cate Bauer, Ben Wright, Fred Worlock",United States,1961,General,81,,"Action-Adventure, Animation, Family",dalmatians action adventure animation family geronimi,high
Disney+,TV Show,101 Dalmatians (Series,,"Jeff Bennett, Christine Cavanaugh, Tara Charendoff, Jim Cummings, Tress Macneille, Charlotte Rae",,1997,Kids,,1,"Action-Adventure, Animation, Kids",dalmatians action adventure animation kids,high
Disney+,Movie,101 Dalmatians II: Patch's London Adventure,"Jim Kammerud, Brian Smith","Barry Bostwick, Jason Alexander, Martin Short, Bobby Lockwood, Susanne Blakeslee, Samuel West",United States,2003,General,77,,"Action-Adventure, Animation",dalmatians patch london adventure action animation smith,high
Disney+,Movie,102 Dalmatians,Kevin Lima,"Glenn Close, Ioan Gruffudd, Alice Evans, Tim Mcinnerny, Ian Richardson, Gérard Depardieu","United Kingdom, United States",2000,General,104,,"Action-Adventure, Animals & Nature, Family",dalmatians action adventure animals nature family lima,high
Amazon Prime,Movie,102 Not Out,Umesh Shukla,"Amitabh Bachchan, Rishi Kapoor, Jimit Trivedi",India,2018,Teen,104,,"Comedy, Drama",not out comedy drama shukla,high
Hulu,TV Show,11.22.63,,,United States,2016,Adult,,1,"Drama, Science Fiction",drama science fiction,medium
Amazon Prime,Movie,12 'O' Clock,Ram Gopal Varma,"Mithun Chakraborty, Makrand Deshpande, Dalip Tahil, Krishna Gautam, Ashish Vidyarthi",,2021,Adult,113,,Horror,clock horror varma,high
Disney+,Movie,12 Dates of Christmas,James Hayman,"Amy Smart, Mark-Paul Gosselaar, Peter Macneil, Mary Long, Jayne Eastwood, Laura Miyata",United States,2011,PG,88,,"Comedy, Family, Fantasy",dates christmas comedy family fantasy hayman,high
Hulu,Movie,12 Hour Shift,,,United States,2020,Unrated,88,,"Comedy, Horror, Thriller",hour shift comedy horror thriller,medium
Hulu,TV Show,12 Monkeys,,,,2014,Teen,,4,"Action, Adventure, Drama",monkeys action adventure drama,medium
Hulu,Movie,12 Pups of Christmas,,,United States,2019,Unrated,89,,Romance,pups christmas romance,medium
Netflix,Movie,12 ROUND GUN,Sam Upton,"Sam Upton, Jared Abrahamson, Mark Boone Junior, Laila Ali, Kate Vernon, Cassi Thomson, Colby French, Miguel Perez, Jay Acovone",United States,2017,Adult,90,,"Dramas, Independent Movies, Sports Movies",round gun dramas independent sports upton,high
Amazon Prime,Movie,12 Rounds 3: Lockdown,Stephen Reynolds,"Dean Ambrose, Roger Cross, Daniel Cudmore, Lochlyn Munro, Ty Olsson, Sarah Smyth",,2015,Adult,90,,"Action, Adventure, Suspense",rounds lockdown action adventure suspense reynolds,high
Netflix,TV Show,12 Years Promise,,"So-Yeon Lee, Namkoong Min, Tae-Im Lee, So-Hui Yoon, Won-Keun Lee, Hyo-Young Ryu",South Korea,2014,Teen,,1,"International Tv Shows, Korean Tv Shows, Romantic Tv Shows",years promise korean romantic,high
Hulu,Movie,12 Years a Slave,,,"United Kingdom, United States",2013,Adult,134,,"Black Stories, Drama, History",years slave black stories drama history,medium
Netflix,Movie,122,Yasir Al Yasiri,"Amina Khalil, Ahmed Dawood, Tarek Lotfy, Ahmed El Fishawy, Mahmoud Hijazi, Jihane Khalil, Asmaa Galal, Tara Emad",Egypt,2019,Adult,95,,"Horror Movies, International Movies",horror yasiri,high
Hulu,Movie,127 Hours,,,,2010,Adult,94,,Drama,hours drama,medium
Amazon Prime,Movie,12B,Jeeva,"Shaam, Simran, Jyothika, Vivek, Sunil Shetty",,2001,General,156,,"Drama, Romance",drama romance jeeva,high
Hulu,Movie,13 Assassins,,,,2011,Adult,125,,"Action, Adventure, Drama",assassins action adventure drama,medium
Amazon Prime,Movie,13 Assassins (English Subtitled,"Takashi Miike, Takashi Hirajô","Koji Yakusho, Takayuki Yamada, Yusuke Iseya",,2011,Adult,125,,"Action, Arthouse, Drama",assassins english subtitled action arthouse drama hirajô,high
Netflix,Movie,13 Cameras,Victor Zarcoff,"Pj Mccabe, Brianne Moncrief, Sarah Baldwin, Jim Cummings, Heidi Niedermeyer, Neville Archambault",United States,2015,Unrated,90,,"Horror Movies, Independent Movies, Thrillers",cameras horror independent thrillers zarcoff,high
Amazon Prime,TV Show,13 Ghosts of Scooby-Doo!,,"Don Messick, Casey Kasem, Heather North, Susan Blu, Vincent Price, Arte Johnson, Howard J. Morris",,1985,Unrated,,1,"Comedy, Horror, Kids",ghosts scooby doo comedy horror kids,high
Amazon Prime,TV Show,13 Nights of Elvira,,Elvira Mistress Of Dark,,2014,Adult,,1,"Comedy, Horror",nights elvira comedy horror,high
Netflix,TV Show,13 Reasons Why,,"Dylan Minnette, Katherine Langford, Kate Walsh, Derek Luke, Brian D'Arcy James, Alisha Boe, Christian Navarro, Miles Heizer, Ross Butler, Devin Druid, Michele Selene Ang, Steven Silver, Amy Hargreaves",United States,2020,Adult,,4,"Crime Tv Shows, Tv Dramas, Tv Mysteries",reasons why crime dramas mysteries,high
Netflix,TV Show,13 Reasons Why: Beyond the Reasons,,"Dylan Minnette, Katherine Langford, Kate Walsh, Derek Luke, Alisha Boe, Justin Prentice, Brandon Flynn, Miles Heizer, Christian Navarro, Brian Yorkey, Tom Mccarthy, Selena Gomez, Mandy Teefey, Jay Asher, Dr. Rona Hu, Dr. Helen Hsu, Dr. Rebecca Hedrick, Alexis Jones, Elaine Welteroth, Julia Bicknell, Dr. Christine Moutier, Nic Sheff, Carrie Goldberg, Anne Winters, Joy Gorman, Brandon Butler, Marissa Jo Cerar, Susanne Timms",United States,2019,Adult,,3,"Crime Tv Shows, Docuseries",reasons why beyond crime docuseries,high
Netflix,Movie,13 Sins,Daniel Stamm,"Mark Webber, Rutina Wesley, Devon Graye, Tom Bower, Ron Perlman, Pruitt Taylor Vince",United States,2014,Adult,93,,"Horror Movies, Thrillers",sins horror thrillers stamm,high
Amazon Prime,Movie,13 Teen,Pritesh Chheda,"Amanda Brown, John Lansch, Marc Hustvedt",,2006,Adult,82,,Suspense,teen suspense chheda,high
Netflix,Movie,13TH,Ava DuVernay,,United States,2016,Adult,101,,Documentaries,documentaries duvernay,high
Netflix,Movie,13TH: A Conversation with Oprah Winfrey & Ava DuVernay,,"Oprah Winfrey, Ava Duvernay",,2017,Unrated,37,,Movies,conversation oprah winfrey ava duvernay,high
Amazon Prime,Movie,13aam Number Veedu,Vivy Kathiresan,"Ramana, Sanjeiv, Praveen Prem, Varsha Bollamma, Aiswarya Gowda, Chetan Gandharva",,2020,Adult,106,,Horror,aam number veedu horror kathiresan,high
Amazon Prime,Movie,13th Locker,Adam Montierth,"Ricky Schroder, Rick Hoffman, Jon Gries, Jason Spisak, Jon Polito, Krista Allen, Tatyana Ali, David Huddleston, Curtis Armstrong, Bart Johnson, Jesse Garcia, Steve Eastin, Victor Campos, Jason Marsden, Alexander Polinsky, Marina Benedict, Thomas Calabro, Jose Rosete",,2020,Teen,103,,"Drama, Suspense",locker drama suspense montierth,high
Netflix,Movie,14 Blades,Daniel Lee,"Donnie Yen, Zhao Wei, Wu Chun, Law Kar-Ying, Kate Tsui, Yuwu Qi, Wu Ma, Chen Kuan Tai, Sammo Kam-Bo Hung, Chen Zhi Hui, Damian Lau, Xiang Dong Xu","China, Hong Kong, Singapore",2010,Adult,113,,"Action & Adventure, International Movies",blades action adventure lee,high
Netflix,Movie,14 Cameras,"Scott Hussion, Seth Fuller","Neville Archambault, Amber Midthunder, Brytnee Ratledge, Hank Rogerson, Chelsea Edmundson, John-Paul Howard, Lora Martinez-Cunningham, Brianne Moncrief",United States,2018,Adult,89,,"Horror Movies, Thrillers",cameras horror thrillers fuller,high
Netflix,Movie,14 Minutes from Earth,"Adam Davis, Jerry Kolber, Trey Nelson, Erich Sturm",,United States,2016,Adult,84,,Documentaries,minutes earth documentaries sturm,high
Amazon Prime,Movie,1492: Conquest of Paradise,Ridley Scott,"Gerard Depardieu, Sigourney Weaver, Armand Assante, Loren Dean, Michael Wincott, Angela Molina, Fernando Rey",,1992,Teen,150,,"Adventure, Drama",conquest paradise adventure drama scott,high
Netflix,Movie,15 August,Swapnaneel Jayakar,"Rahul Pethe, Mrunmayee Deshpande, Adinath Kothare, Vaibhav Mangale, Jaywant Wadkar, Satish Pulekar, Naina Apte, Uday Tikekar",India,2019,Teen,124,,"Comedies, Dramas, Independent Movies",august comedies dramas independent jayakar,high
Amazon Prime,Movie,15 Killings,I. Drakos,"Steve Bongeorno, Maria Olsen, Jt Richardson",,2020,Adult,97,,"Horror, Suspense",killings horror suspense drakos,high
Amazon Prime,Movie,15 Minute Forest Stream Meditation,Mark Knight,Marie-Anne Newland,,2020,General,15,,Special Interest,minute forest stream meditation special interest knight,high
Amazon Prime,Movie,15 Minute Mountain Sleep Visualization,Mark Knight,Anne-Marie Newland,,2020,General,15,,Faith And Spirituality,minute mountain sleep visualization faith spirituality knight,high
Amazon Prime,Movie,15 Minute Ocean Meditation,Mark Knight,Anne-Marie Newland,,2020,General,15,,Special Interest,minute ocean meditation special interest knight,high
Amazon Prime,Movie,15 Minute Ocean Sleep Visualization,Mark Knight,,,2020,General,15,,Special Interest,minute ocean sleep visualization special interest knight,high
Amazon Prime,Movie,15 Minute Rain Meditation,Mark Knight,Anne-Marie Newland,,2020,General,15,,Special Interest,minute rain meditation special interest knight,high
Amazon Prime,Movie,15 Minutes of War,Fred Grivois,"Alban Lenoir, Olga Kurylenko, Kevin Layne, Michaël Abiteboul, Sébastien Lalanne, David Murgia, Guillaume Labbé, Vincent Perez, Josiane Blasko, Ben Cura, Andre Peirre",,2019,Unrated,98,,"Action, Drama",minutes war action drama grivois,high
Amazon Prime,Movie,15 Years,Yuval Hadadi,"Oded Leopold, Udi Persi, Ruti Asarsai",,2020,Unrated,89,,"Arthouse, Drama, Lgbtq",years arthouse drama lgbtq hadadi,high
Netflix,Movie,15-Aug,Swapnaneel Jayakar,"Rahul Pethe, Mrunmayee Deshpande, Adinath Kothare, Vaibhav Mangale, Jaywant Wadkar, Satish Pulekar, Naina Apte, Uday Tikekar",India,2019,Teen,124,,"Comedies, Dramas, Independent Movies",aug comedies dramas independent jayakar,high
Amazon Prime,Movie,15-Minute Anxiety Meditation,,Donna D' Cruz,,2020,General,15,,Special Interest,minute anxiety meditation special interest,high
Amazon Prime,Movie,15-Minute Arms & Core 8.0 Workout (with weights,,Maggie Binkley,,2019,General,21,,Fitness,minute arms core workout weights fitness,high
Amazon Prime,Movie,15-Minute Balance & Burn 5.0 Workout,,Maggie Binkley,,2017,General,21,,Fitness,minute balance burn workout fitness,high
Amazon Prime,Movie,15-Minute Balance & Burn 9.0 Workout (with weights,,Maggie Binkley,,2020,General,24,,Fitness,minute balance burn workout weights fitness,high
Amazon Prime,Movie,15-Minute Cardio Burn 5.0 Workout,,Maggie Binkley,,2017,General,22,,Fitness,minute cardio burn workout fitness,high
Amazon Prime,Movie,15-Minute Cardio Burst 4.0 Workout,,Maggie Binkley,,2017,General,18,,Fitness,minute cardio burst workout fitness,high
Amazon Prime,Movie,15-Minute Cardio Challenge 6.0 Workout (with weights,,Maggie Binkley,,2018,General,20,,Fitness,minute cardio challenge workout weights fitness,high
Amazon Prime,Movie,15-Minute Cardio Core 4.0 Workout,,Maggie Binkley,,2017,General,18,,Fitness,minute cardio core workout fitness,high
Amazon Prime,Movie,15-Minute Cardio Core 7.0 Workout (with weights,,Maggie Binkley,,2019,General,22,,Fitness,minute cardio core workout weights fitness,high
Amazon Prime,Movie,15-Minute Cardio Core 8.0 Workout (with weights,,Maggie Binkley,,2019,General,20,,Fitness,minute cardio core workout weights fitness,high
Amazon Prime,Movie,15-Minute Cardio Flow 7.0 Workout (with weights,,Maggie Binkley,,2019,General,19,,Fitness,minute cardio flow workout weights fitness,high
Amazon Prime,Movie,15-Minute Cardio HIIT 3.0 Workout,,Maggie Binkley,,2017,General,19,,Fitness,minute cardio hiit workout fitness,high
Amazon Prime,Movie,15-Minute Core Challenge 1.0 Workout,,Maggie Binkley,,2016,General,18,,Fitness,minute core challenge workout fitness,high
Amazon Prime,Movie,15-Minute Core Challenge 2.0 Workout,,Maggie Binkley,,2017,General,17,,Fitness,minute core challenge workout fitness,high
Amazon Prime,Movie,15-Minute Core Challenge 9.0 Workout (with weights,,Maggie Binkley,,2020,General,23,,Fitness,minute core challenge workout weights fitness,high
Amazon Prime,Movie,15-Minute Full Body Balance & Tone 7.0 Workout (with weights,,Maggie Binkley,,2019,General,20,,Fitness,minute full body balance tone workout weights fitness,high
Amazon Prime,Movie,15-Minute Full Body Blast 3.0 Workout,,Maggie Binkley,,2017,General,18,,Fitness,minute full body blast workout fitness,high
Amazon Prime,Movie,15-Minute Full Body Burn 1.0 Workout,,Maggie Binkley,,2016,General,17,,Fitness,minute full body burn workout fitness,high
